Date,bitcoin,btc,cryptocurrency
01-02-2015,"31,612","5,311",0
01-03-2015,"24,985","6,020",0
01-04-2015,"27,218","6,544",0
01-05-2015,"36,823","6,534",0
01-06-2015,"37,278","5,788",0
01-07-2015,"33,893","5,376",0
01-08-2015,"29,430","5,471",0
01-09-2015,"38,253","6,854",0
01-10-2015,"26,431","5,182",0
01-11-2015,"24,570","5,395",0
01-12-2015,"30,559","6,954",0
1-13-2015,"37,057","8,935",0
1-14-2015,"43,953","6,621",0
1-15-2015,"39,157","7,244",0
1-16-2015,"32,712","5,750",0
1-17-2015,"25,581","5,076",0
1-18-2015,"26,963","4,949",0
1-19-2015,"34,813","7,565",0
1-20-2015,"36,373","5,103",0
1-21-2015,"33,163","5,155",0
1-22-2015,"35,242","5,107",0
1-23-2015,"36,468","5,256",0
1-24-2015,"30,928","7,303",0
1-25-2015,"28,899","4,878",0
1-26-2015,"48,225","6,179",0
1-27-2015,"33,261","5,188",0
1-28-2015,"35,656","5,339",0
1-29-2015,"32,753","5,238",0
1-30-2015,"29,608","4,993",0
1-31-2015,"22,494","4,464",0
02-01-2015,"23,490","5,132",0
02-02-2015,"36,849","12,380",0
02-03-2015,"35,934","5,530",0
02-04-2015,"34,526","5,587",0
02-05-2015,"36,329","8,752",0
02-06-2015,"31,550","5,249",0
02-07-2015,"27,124","4,400",0
02-08-2015,"27,062","4,555",0
02-09-2015,"33,249","6,055",0
02-10-2015,"35,184","5,126",0
02-11-2015,"38,817","6,311",0
02-12-2015,"37,141","7,586",0
2-13-2015,"34,544","6,492",0
2-14-2015,"23,963","6,745",0
2-15-2015,"25,402","6,149",0
2-16-2015,"34,082","8,015",0
2-17-2015,"31,169","7,161",0
2-18-2015,"31,198","6,634",0
2-19-2015,"37,594","6,960",0
2-20-2015,"38,595","6,171",0
2-21-2015,"25,250","5,865",0
2-22-2015,"25,020","5,573",0
2-23-2015,"30,613","5,482",0
2-24-2015,"29,682","5,137",0
2-25-2015,"32,952","5,273",0
2-26-2015,"31,193","5,715",0
2-27-2015,"30,657","5,786",0
2-28-2015,"25,878","5,435",0
03-01-2015,"24,274","5,334",0
03-02-2015,"32,774","6,119",0
